category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url,manufacturer
456,新能源,2025-11,36,6950,理想L6,9434.0,24.98-27.98万,https://www.autohome.com.cn/6950/#pvareaid=6861512,public/autohome_energy/guochan/images/456/36_35_理想L6.png,https://www.autohome.com.cn/6950/#pvareaid=6861512,理想汽车
456,新能源,2025-11,37,7125,极狐 阿尔法T5,9386.0,11.38-15.88万,https://www.autohome.com.cn/7125/#pvareaid=6861512,public/autohome_energy/guochan/images/456/37_36_极狐_阿尔法T5.png,https://www.autohome.com.cn/7125/#pvareaid=6861512,ARCFOX极狐
456,新能源,2025-11,38,6459,岚图梦想家,9027.0,30.99-70.99万,https://www.autohome.com.cn/6459/#pvareaid=6861512,public/autohome_energy/guochan/images/456/38_37_岚图梦想家.png,https://www.autohome.com.cn/6459/#pvareaid=6861512,岚图汽车
456,新能源,2025-11,39,7877,零跑B10,9004.0,9.98-14.98万,https://www.autohome.com.cn/7877/#pvareaid=6861512,public/autohome_energy/guochan/images/456/39_38_零跑B10.png,https://www.autohome.com.cn/7877/#pvareaid=6861512,零跑汽车
456,新能源,2025-11,40,7835,极氪9X,8121.0,46.59-59.99万,https://www.autohome.com.cn/7835/#pvareaid=6861512,public/autohome_energy/guochan/images/456/40_39_极氪9X.png,https://www.autohome.com.cn/7835/#pvareaid=6861512,极氪
456,新能源,2025-11,41,7225,风云A9L,8037.0,14.99-23.69万,https://www.autohome.com.cn/7225/#pvareaid=6861512,public/autohome_energy/guochan/images/456/41_40_风云A9L.png,https://www.autohome.com.cn/7225/#pvareaid=6861512,奇瑞风云
456,新能源,2025-11,42,7305,智己LS6,8026.0,22.49-28.49万,https://www.autohome.com.cn/7305/#pvareaid=6861512,public/autohome_energy/guochan/images/456/42_41_智己LS6.png,https://www.autohome.com.cn/7305/#pvareaid=6861512,智己汽车
456,新能源,2025-11,43,5761,宋PLUS新能源,7871.0,12.98-21.99万,https://www.autohome.com.cn/5761/#pvareaid=6861512,public/autohome_energy/guochan/images/456/43_42_宋PLUS新能源.png,https://www.autohome.com.cn/5761/#pvareaid=6861512,比亚迪
456,新能源,2025-11,44,5499,汉,7841.0,16.88-22.58万,https://www.autohome.com.cn/5499/#pvareaid=6861512,public/autohome_energy/guochan/images/456/44_43_汉.png,https://www.autohome.com.cn/5499/#pvareaid=6861512,比亚迪
456,新能源,2025-11,45,7207,问界M9,7804.0,46.98-59.98万,https://www.autohome.com.cn/7207/#pvareaid=6861512,public/autohome_energy/guochan/images/456/45_44_问界M9.png,https://www.autohome.com.cn/7207/#pvareaid=6861512,AITO 问界
456,新能源,2025-11,46,6002,红旗E-QM5,7678.0,8.98-23.98万,https://www.autohome.com.cn/6002/#pvareaid=6861512,public/autohome_energy/guochan/images/456/46_45_红旗E-QM5.png,https://www.autohome.com.cn/6002/#pvareaid=6861512,红旗
456,新能源,2025-11,47,8278,零跑Lafa5,7397.0,9.78-12.98万,https://www.autohome.com.cn/8278/#pvareaid=6861512,public/autohome_energy/guochan/images/456/47_46_零跑Lafa5.png,https://www.autohome.com.cn/8278/#pvareaid=6861512,零跑汽车
456,新能源,2025-11,48,7777,极氪7X,7339.0,22.98-26.98万,https://www.autohome.com.cn/7777/#pvareaid=6861512,public/autohome_energy/guochan/images/456/48_47_极氪7X.png,https://www.autohome.com.cn/7777/#pvareaid=6861512,极氪
456,新能源,2025-11,49,7045,五菱缤果,7334.0,5.68-8.48万,https://www.autohome.com.cn/7045/#pvareaid=6861512,public/autohome_energy/guochan/images/456/49_48_五菱缤果.png,https://www.autohome.com.cn/7045/#pvareaid=6861512,五菱汽车
456,新能源,2025-11,50,5205,零跑C11,7197.0,14.98-16.58万,https://www.autohome.com.cn/5205/#pvareaid=6861512,public/autohome_energy/guochan/images/456/50_49_零跑C11.png,https://www.autohome.com.cn/5205/#pvareaid=6861512,零跑汽车
